worker_id,department,location,order_detail,shift,season,detailed_order,office_location,assigned_starbucks,adjusted_order_time,adjusted_pickup_time,prep_time_minutes,time_slot,expected_wait_time_minutes
1,Support,Starbucks_2,Mocha - Extra Shot Large,Morning,Spring,Small - Almond Milk - Extra Sweetener - Flavored Syrup,Office_E,Starbucks_3,08-03-2025 08:57,08-03-2025 09:10,6,Morning Rush (8:00 AM - 10:00 AM),8
2,HR,Starbucks_3,Tea - Almond Milk Extra Shot,Evening,Spring,Large - Almond Milk - Sweetener - None,Office_C,Starbucks_3,08-03-2025 16:26,08-03-2025 16:32,5,Late Afternoon (2:00 PM - 4:00 PM),7
3,Operations,Starbucks_1,Espresso - No Sugar Small,Morning,Fall,Small - Regular - No Sugar - None,Office_B,Starbucks_3,08-03-2025 09:42,08-03-2025 09:54,4,Morning Rush (8:00 AM - 10:00 AM),6
4,Support,Starbucks_2,Mocha - Large Almond Milk,Evening,Spring,Large - Regular - Extra Sweetener - None,Office_B,Starbucks_2,08-03-2025 16:52,08-03-2025 17:11,5,Late Afternoon (2:00 PM - 4:00 PM),6
5,Sales,Starbucks_2,Latte - No Sugar Regular,Evening,Summer,Small - Oat Milk - No Sugar - None,Office_C,Starbucks_1,08-03-2025 16:57,08-03-2025 17:14,3,Late Afternoon (2:00 PM - 4:00 PM),5
6,Operations,Starbucks_3,Mocha - Regular Extra Shot,Morning,Summer,Medium - Soy Milk - No Sugar - Extra Shot,Office_A,Starbucks_3,08-03-2025 08:17,08-03-2025 08:36,6,Morning Rush (8:00 AM - 10:00 AM),7
7,Operations,Starbucks_3,Latte - Extra Shot Almond Milk,Evening,Fall,Large - Almond Milk - Regular Sugar - Extra Shot,Office_C,Starbucks_1,08-03-2025 17:40,08-03-2025 17:51,6,Late Afternoon (2:00 PM - 4:00 PM),8
8,Support,Starbucks_3,Mocha - Small Large,Morning,Summer,Small - Almond Milk - Sweetener - Flavored Syrup,Office_E,Starbucks_3,08-03-2025 08:44,08-03-2025 09:01,5,Morning Rush (8:00 AM - 10:00 AM),7
9,Marketing,Starbucks_3,Mocha - Large No Sugar,Afternoon,Summer,Medium - Oat Milk - No Sugar - None,Office_B,Starbucks_3,08-03-2025 13:54,08-03-2025 13:59,5,Afternoon (12:00 PM - 2:00 PM),6
10,Sales,Starbucks_3,Mocha - No Sugar Large,Evening,Winter,Medium - Almond Milk - Sweetener - None,Office_A,Starbucks_1,08-03-2025 17:44,08-03-2025 17:58,4,Late Afternoon (2:00 PM - 4:00 PM),6
11,Support,Starbucks_3,Coffee - Regular Small,Afternoon,Winter,Medium - Regular - No Sugar - Extra Shot,Office_C,Starbucks_2,08-03-2025 13:48,08-03-2025 13:54,6,Afternoon (12:00 PM - 2:00 PM),8
12,Sales,Starbucks_1,Latte - Medium Large,Afternoon,Fall,Medium - Regular - Extra Sweetener - None,Office_A,Starbucks_3,08-03-2025 13:27,08-03-2025 13:33,4,Afternoon (12:00 PM - 2:00 PM),5
