worker_id,department,location,order_detail,shift,season,detailed_order,office_location,assigned_starbucks,adjusted_order_time,adjusted_pickup_time,prep_time_minutes,time_slot,expected_wait_time_minutes
1,Sales,Starbucks_2,Latte - Oat Milk - Sweetener - Large - Caramel Drizzle,Morning,Fall,Small - Almond Milk - Extra Sweetener - Flavored Syrup,Office_E,Starbucks_3,2025-03-08 08:57:00,2025-03-08 09:10:00,4.0,Morning Rush (8:00 AM - 10:00 AM),6
2,Marketing,Starbucks_3,Frappuccino - Soy Milk - Extra Sweetener - Medium - Caramel Drizzle,Evening,Fall,Large - Almond Milk - Sweetener - None,Office_E,Starbucks_3,2025-03-08 16:26:00,2025-03-08 16:32:00,5.0,Midday (10:00 AM - 12:00 PM),6
3,Engineering,Starbucks_1,Latte - Coconut Milk - Extra Sweetener - Small - Caramel Drizzle,Morning,Winter,Small - Regular - No Sugar - None,Office_E,Starbucks_3,2025-03-08 09:42:00,2025-03-08 09:54:00,4.0,,6
4,Support,Starbucks_2,Latte - Coconut Milk - Sweetener - Small - None,Evening,Winter,Large - Regular - Extra Sweetener - None,Office_A,Starbucks_2,2025-03-08 16:52:00,2025-03-08 17:11:00,3.0,Afternoon (12:00 PM - 2:00 PM),5
5,Finance,Starbucks_2,Mocha - Regular - Sweetener - Large - Flavored Syrup,Evening,Summer,Small - Oat Milk - No Sugar - None,Office_A,Starbucks_1,2025-03-08 16:57:00,2025-03-08 17:14:00,5.0,Afternoon (12:00 PM - 2:00 PM),7
6,HR,Starbucks_3,Latte - Coconut Milk - No Sugar - Small - Extra Shot,Morning,Fall,Medium - Soy Milk - No Sugar - Extra Shot,Office_C,Starbucks_3,2025-03-08 08:17:00,2025-03-08 08:36:00,7.0,Morning Rush (8:00 AM - 10:00 AM),9
7,Marketing,Starbucks_3,Latte - Almond Milk - Sweetener - Small - Extra Shot,Evening,Spring,Large - Almond Milk - Regular Sugar - Extra Shot,Office_B,Starbucks_1,2025-03-08 17:40:00,2025-03-08 17:51:00,6.0,Morning Rush (8:00 AM - 10:00 AM),7
8,Sales,Starbucks_3,Iced Coffee - Almond Milk - No Sugar - Large - Extra Shot,Morning,Fall,Small - Almond Milk - Sweetener - Flavored Syrup,Office_E,Starbucks_3,2025-03-08 08:44:00,2025-03-08 09:01:00,7.0,Morning Rush (8:00 AM - 10:00 AM),8
9,Marketing,Starbucks_3,Mocha - Oat Milk - No Sugar - Large - Flavored Syrup,Afternoon,Fall,Medium - Oat Milk - No Sugar - None,Office_E,Starbucks_3,2025-03-08 13:54:00,2025-03-08 13:59:00,5.0,Late Afternoon (2:00 PM - 4:00 PM),7
10,Support,Starbucks_3,Latte - Coconut Milk - Extra Sweetener - Small - None,Evening,Summer,Medium - Almond Milk - Sweetener - None,Office_B,Starbucks_1,2025-03-08 17:44:00,2025-03-08 17:58:00,4.0,Midday (10:00 AM - 12:00 PM),6
11,Support,Starbucks_3,Mocha - Almond Milk - Sweetener - Small - Caramel Drizzle,Afternoon,Winter,Medium - Regular - No Sugar - Extra Shot,Office_B,Starbucks_2,2025-03-08 13:48:00,2025-03-08 13:54:00,4.0,Late Afternoon (2:00 PM - 4:00 PM),5
12,Marketing,Starbucks_1,Iced Coffee - Soy Milk - Sweetener - Small - Flavored Syrup,Afternoon,Spring,Medium - Regular - Extra Sweetener - None,Office_D,Starbucks_3,2025-03-08 13:27:00,2025-03-08 13:33:00,5.0,Late Afternoon (2:00 PM - 4:00 PM),6
13,Marketing,Starbucks_2,,Evening,Fall,Small - Regular - No Sugar - None,Office_B,Starbucks_2,2025-03-08 17:37:00,2025-03-08 17:50:00,,Morning Rush (8:00 AM - 10:00 AM),8
14,Engineering,Starbucks_1,Frappuccino - Oat Milk - Regular Sugar - Medium - None,Morning,Winter,Small - Almond Milk - Sweetener - Flavored Syrup,Office_C,Starbucks_2,2025-03-08 08:15:00,2025-03-08 08:26:00,5.0,Morning Rush (8:00 AM - 10:00 AM),6
15,Marketing,Starbucks_1,Tea - Almond Milk - Regular Sugar - Large - None,Morning,Summer,Large - Regular - Sweetener - None,Office_C,Starbucks_3,2025-03-08 08:07:00,2025-03-08 08:14:00,4.0,Afternoon (12:00 PM - 2:00 PM),6
16,Sales,Starbucks_3,Cappuccino - Coconut Milk - No Sugar - Medium - Flavored Syrup,Afternoon,Spring,Large - Soy Milk - Extra Sweetener - Flavored Syrup,Office_A,Starbucks_3,2025-03-08 13:28:00,2025-03-08 13:41:00,6.0,Morning Rush (8:00 AM - 10:00 AM),7
17,HR,Starbucks_2,Espresso - Soy Milk - Regular Sugar - Medium - None,Morning,Spring,Large - Almond Milk - Extra Sweetener - Extra Shot,Office_B,Starbucks_2,2025-03-08 09:48:00,2025-03-08 10:00:00,4.0,Afternoon (12:00 PM - 2:00 PM),5
18,HR,Starbucks_1,Espresso - Oat Milk - No Sugar - Small - Caramel Drizzle,Evening,Fall,Small - Oat Milk - Sweetener - Flavored Syrup,Office_A,Starbucks_2,2025-03-08 16:39:00,2025-03-08 16:47:00,3.0,Midday (10:00 AM - 12:00 PM),4
19,Marketing,Starbucks_3,Latte - Almond Milk - Sweetener - Large - Caramel Drizzle,Afternoon,Spring,Medium - Regular - Regular Sugar - None,Office_D,Starbucks_2,2025-03-08 12:09:00,2025-03-08 12:24:00,4.0,Afternoon (12:00 PM - 2:00 PM),6
20,Engineering,Starbucks_3,Mocha - Regular - Sweetener - Medium - None,Morning,Summer,Medium - Almond Milk - No Sugar - None,Office_C,Starbucks_2,2025-03-08 09:58:00,2025-03-08 10:09:00,4.0,Late Afternoon (2:00 PM - 4:00 PM),6
21,Finance,Starbucks_2,Latte - Soy Milk - Sweetener - Small - None,Morning,Summer,Small - Regular - No Sugar - Extra Shot,Office_B,Starbucks_1,2025-03-08 08:59:00,2025-03-08 09:18:00,3.0,Midday (10:00 AM - 12:00 PM),5
22,Sales,Starbucks_1,Tea - Almond Milk - Regular Sugar - Small - Extra Shot,Afternoon,Spring,Small - Oat Milk - Extra Sweetener - Extra Shot,Office_B,Starbucks_3,2025-03-08 13:12:00,2025-03-08 13:18:00,6.0,Late Afternoon (2:00 PM - 4:00 PM),7
23,Finance,Starbucks_1,Coffee - Soy Milk - Extra Sweetener - Large - None,Morning,Summer,Medium - Regular - Extra Sweetener - None,Office_D,Starbucks_1,2025-03-08 07:36:00,2025-03-08 07:53:00,5.0,Afternoon (12:00 PM - 2:00 PM),6
